wl,Ag_k,PDMS_k
3.85,27.246667,0.00007280
3.86,27.300000,0.00006830
3.87,27.385000,0.00006530
3.88,27.470000,0.00006360
3.89,27.550000,0.00006300
3.90,27.630000,0.00006360
3.91,27.686667,0.00006460
3.92,27.743333,0.00006560
3.93,27.800000,0.00006920
3.94,27.885000,0.00007420
3.95,27.970000,0.00008170
3.96,28.026667,0.00009420
3.97,28.083333,0.00010460
3.98,28.140000,0.00011500
3.99,28.225000,0.00014600
4.00,28.310000,0.00017800
4.01,28.366667,0.00016500
4.02,28.423333,0.00014700
4.03,28.480000,0.00012900
4.04,28.570000,0.00010200
4.05,28.660000,0.00008450
4.06,28.720000,0.00007400
4.07,28.780000,0.00007070
4.08,28.840000,0.00006740
4.09,28.930000,0.00006320
4.10,29.020000,0.00006050
4.11,29.080000,0.00005975
4.12,29.140000,0.00005900
4.13,29.200000,0.00005870
4.14,29.295000,0.00005930
4.15,29.390000,0.00006070
4.16,29.453333,0.00006175
4.17,29.516667,0.00006280
4.18,29.580000,0.00006530
4.19,29.643333,0.00006770
4.20,29.706667,0.00006880
4.21,29.770000,0.00006990
4.22,29.833333,0.00007220
4.23,29.896667,0.00007415
4.24,29.960000,0.00007610
4.25,30.060000,0.00008060
4.26,30.160000,0.00008410
4.27,30.223333,0.00008640
4.28,30.286667,0.00008870
4.29,30.350000,0.00009500
4.30,30.420000,0.00009900
4.31,30.490000,0.00010300
4.32,30.560000,0.00011100
4.33,30.626667,0.00011550
4.34,30.693333,0.00012000
4.35,30.760000,0.00013100
4.36,30.826667,0.00014500
4.37,30.893333,0.00015200
4.38,30.960000,0.00015900
4.39,31.030000,0.00017300
4.40,31.100000,0.00018000
4.41,31.170000,0.00018700
4.42,31.240000,0.00019800
4.43,31.310000,0.00020350
4.44,31.380000,0.00020900
4.45,31.453333,0.00021900
4.46,31.526667,0.00022250
4.47,31.600000,0.00022600
4.48,31.673333,0.00022600
4.49,31.746667,0.00022600
4.50,31.820000,0.00022700
4.51,31.893333,0.00022550
4.52,31.966667,0.00022400
4.53,32.040000,0.00022500
4.54,32.113333,0.00022900
4.55,32.186667,0.00023300
4.56,32.260000,0.00023700
4.57,32.317500,0.00023650
4.58,32.375000,0.00023600
4.59,32.432500,0.00023550
4.60,32.490000,0.00023500
4.61,32.566667,0.00023300
4.62,32.643333,0.00023250
4.63,32.720000,0.00023200
4.64,32.796667,0.00023300
4.65,32.873333,0.00023400
4.66,32.950000,0.00023600
4.67,33.007500,0.00023500
4.68,33.065000,0.00023400
4.69,33.122500,0.00023450
4.70,33.180000,0.00023500
4.71,33.260000,0.00024000
4.72,33.340000,0.00023900
4.73,33.420000,0.00023800
4.74,33.503333,0.00023850
4.75,33.586667,0.00023900
4.76,33.670000,0.00024050
4.77,33.730000,0.00024200
4.78,33.790000,0.00024500
4.79,33.850000,0.00024700
4.80,33.910000,0.00024900
4.81,33.972500,0.00024900
4.82,34.035000,0.00024900
4.83,34.097500,0.00024700
4.84,34.160000,0.00024500
4.85,34.246667,0.00024500
4.86,34.333333,0.00024700
4.87,34.420000,0.00024900
4.88,34.482500,0.00024800
4.89,34.545000,0.00024700
4.90,34.607500,0.00024850
4.91,34.670000,0.00025000
4.92,34.735000,0.00025150
4.93,34.800000,0.00025300
4.94,34.865000,0.00025550
4.95,34.930000,0.00025800
4.96,34.997500,0.00025950
4.97,35.065000,0.00026100
4.98,35.132500,0.00026200
4.99,35.200000,0.00026300
5.00,35.290000,0.00025800
