wl,k
4.6627,2.36E-04
4.6795,2.34E-04
4.6965,2.35E-04
4.7136,2.40E-04
4.7308,2.38E-04
4.7481,2.39E-04
4.7655,2.42E-04
4.7831,2.45E-04
4.8008,2.49E-04
4.8187,2.49E-04
4.8367,2.45E-04
4.8548,2.45E-04
4.8730,2.49E-04
4.8914,2.47E-04
4.9100,2.50E-04
4.9286,2.53E-04
4.9474,2.58E-04
4.9664,2.61E-04
4.9855,2.63E-04
5.0047,2.58E-04
5.0241,2.55E-04
5.0437,2.64E-04
5.0634,2.60E-04
5.0832,2.58E-04
5.1033,2.62E-04
5.1234,2.63E-04
5.1438,2.65E-04
5.1643,2.60E-04
5.1849,2.60E-04
5.2057,2.67E-04
5.2267,2.80E-04
5.2479,2.72E-04
5.2692,2.69E-04
5.2907,2.76E-04
5.3124,2.74E-04
5.3343,2.71E-04
5.3563,2.67E-04
5.3785,2.82E-04
5.4009,2.80E-04
5.4235,2.81E-04
5.4463,2.77E-04
5.4693,2.77E-04
5.4925,2.76E-04
5.5159,2.82E-04
5.5394,2.84E-04
5.5632,2.79E-04
5.5872,2.81E-04
5.6114,2.77E-04
5.6358,2.79E-04
5.6604,2.91E-04
5.6852,2.90E-04
5.7103,2.79E-04
5.7355,2.77E-04
5.7610,2.82E-04
5.7867,2.95E-04
5.8127,2.91E-04
5.8389,2.82E-04
5.8653,2.75E-04
5.8919,2.85E-04
5.9188,2.94E-04
5.9460,3.07E-04
5.9734,3.03E-04
6.0011,2.94E-04
6.0290,5.02E-04
6.0571,3.99E-04
6.0856,2.38E-04
6.1143,4.84E-04
6.1433,1.09E-03
6.1725,1.21E-03
6.2020,9.51E-04
6.2319,1.20E-03
6.2620,1.10E-03
6.2924,5.76E-04
6.3231,3.39E-04
6.3541,3.13E-04
6.3854,3.94E-04
6.4170,4.60E-04
6.4489,7.13E-04
6.4811,7.17E-04
6.5137,4.91E-04
6.5466,5.19E-04
6.5798,2.60E-04
6.6134,5.84E-04
6.6473,7.76E-04
6.6816,6.03E-04
6.7162,5.89E-04
6.7512,6.78E-04
6.7865,1.42E-03
6.8223,2.57E-03
6.8583,4.35E-03
6.8948,6.58E-03
6.9317,7.04E-03
6.9690,6.48E-03
