wl,Al2O3_n
1.0259e-05,0.999999948109593
1.03262e-05,0.999999947426819
1.0394e-05,0.999999946735068
1.04621e-05,0.999999946034218
1.05308e-05,0.999999945324145
1.05998e-05,0.999999944604725
1.06693e-05,0.999999943875833
1.07393e-05,0.999999943137341
1.08097e-05,0.999999942389114
1.08806e-05,0.999999941631015
1.0952e-05,0.999999940862939
1.10238e-05,0.999999940084782
1.10961e-05,0.999999939296394
1.11689e-05,0.999999938497637
1.12421e-05,0.999999937688368
1.13159e-05,0.999999936868448
1.13901e-05,0.999999936037731
1.14648e-05,0.999999935196073
1.154e-05,0.999999934343324
1.16157e-05,0.99999993347932
1.16918e-05,0.99999993260394
1.17685e-05,0.999999931717067
1.18457e-05,0.999999930818538
1.19234e-05,0.99999992990819
1.20016e-05,0.999999928985863
1.20803e-05,0.999999928051397
1.21595e-05,0.999999927104626
1.22393e-05,0.999999926145386
1.23195e-05,0.999999925173506
1.24003e-05,0.999999924188802
1.24817e-05,0.999999923191125
1.25635e-05,0.99999992218034
1.26459e-05,0.999999921156275
1.27289e-05,0.999999920118742
1.28123e-05,0.999999919067557
1.28964e-05,0.999999918002536
1.29809e-05,0.999999916923493
1.30661e-05,0.999999915830237
1.31518e-05,0.999999914722576
1.3238e-05,0.999999913600304
1.33248e-05,0.999999912463234
1.34122e-05,0.999999911311218
1.35002e-05,0.99999991014407
1.35887e-05,0.999999908961575
1.36778e-05,0.999999907763521
1.37676e-05,0.999999906549699
1.38578e-05,0.999999905319895
1.39487e-05,0.999999904073893
1.40402e-05,0.999999902811474
1.41323e-05,0.999999901532406
1.4225e-05,0.999999900236461
1.43183e-05,0.99999989892347
1.44122e-05,0.99999989759324
1.45067e-05,0.99999989624552
1.46018e-05,0.999999894880068
1.46976e-05,0.999999893496644
1.4794e-05,0.999999892095006
1.4891e-05,0.999999890674907
1.49887e-05,0.999999889236098
1.5087e-05,0.999999887778317
1.51859e-05,0.999999886301284
1.52855e-05,0.99999988480481
