wl,Al2O3_k
0.000137458,9.15153e-08
0.000138359,9.39312e-08
0.000139267,9.63949e-08
0.00014018,9.89277e-08
0.0001411,1.01532e-07
0.000142025,1.04187e-07
0.000142956,1.06939e-07
0.000143894,1.09723e-07
0.000144838,1.12633e-07
0.000145788,1.15551e-07
0.000146744,1.18626e-07
0.000147706,1.21686e-07
0.000148675,1.24935e-07
0.00014965,1.28163e-07
0.000150631,1.31576e-07
0.000151619,1.34989e-07
0.000152614,1.38567e-07
0.000153614,1.42172e-07
0.000154622,1.45922e-07
0.000155636,1.49732e-07
0.000156657,1.53664e-07
0.000157684,1.5769e-07
0.000158718,1.61813e-07
0.000159759,1.66068e-07
0.000160807,1.70389e-07
0.000161862,1.74886e-07
0.000162923,1.79415e-07
0.000163992,1.84166e-07
0.000165067,1.88913e-07
0.00016615,1.93934e-07
0.000167239,1.98922e-07
0.000168336,2.04213e-07
0.00016944,2.09482e-07
0.000170551,2.15029e-07
0.00017167,2.20597e-07
0.000172796,2.26412e-07
0.000173929,2.32294e-07
0.00017507,2.38389e-07
0.000176218,2.44605e-07
0.000177374,2.50993e-07
0.000178537,2.57559e-07
0.000179708,2.64254e-07
0.000180886,2.71191e-07
0.000182073,2.78207e-07
0.000183267,2.85537e-07
0.000184469,2.92889e-07
0.000185679,3.00631e-07
0.000186896,3.08334e-07
0.000188122,3.16513e-07
0.000189356,3.2464e-07
0.000190598,3.33224e-07
0.000191848,3.41807e-07
0.000193106,3.50804e-07
0.000194372,3.59871e-07
0.000195647,3.693e-07
0.00019693,3.78876e-07
0.000198222,3.88758e-07
0.000199522,3.98874e-07
0.00020083,4.09228e-07
0.000202147,4.19913e-07
0.000203473,4.30759e-07
0.000204808,4.42036e-07
0.000206151,4.53397e-07
0.000207503,4.6532e-07
0.000208864,4.77231e-07
0.000210234,4.89813e-07
0.000211612,5.02313e-07
0.000213,5.15566e-07
0.000214397,5.28766e-07
0.000215803,5.42654e-07
0.000217218,5.56593e-07
0.000218643,5.71142e-07
0.000220077,5.85861e-07
0.00022152,6.01106e-07
0.000222973,6.16651e-07
0.000224436,6.32628e-07
0.000225907,6.49049e-07
0.000227389,6.65784e-07
0.00022888,6.83113e-07
0.000230381,7.00636e-07
0.000231892,7.18932e-07
0.000233413,7.37283e-07
0.000234944,7.56601e-07
0.000236485,7.7582e-07
0.000238036,7.96219e-07
0.000239597,8.16484e-07
0.000241168,8.37881e-07
0.00024275,8.59273e-07
0.000244342,8.81683e-07
0.000245944,9.04263e-07
0.000247557,9.27736e-07
0.000249181,9.51574e-07
0.000250815,9.76161e-07
0.00025246,1.00133e-06
0.000254116,1.02707e-06
0.000255782,1.05362e-06
0.00025746,1.08057e-06
0.000259148,1.10861e-06
0.000260848,1.13683e-06
0.000262559,1.16642e-06
0.000264281,1.19597e-06
0.000266014,1.22719e-06
0.000267759,1.2582e-06
0.000269515,1.29107e-06
0.000271282,1.3238e-06
0.000273061,1.35822e-06
0.000274852,1.39278e-06
0.000276655,1.42882e-06
0.000278469,1.46527e-06
0.000280295,1.503e-06
0.000282134,1.54146e-06
0.000283984,1.58096e-06
0.000285847,1.62154e-06
0.000287721,1.66289e-06
0.000289608,1.7057e-06
0.000291508,1.74898e-06
0.000293419,1.79415e-06
0.000295344,1.83945e-06
0.000297281,1.8871e-06
0.00029923,1.93451e-06
0.000301193,1.98479e-06
0.000303168,2.03473e-06
0.000305156,2.08743e-06
0.000307158,2.14012e-06
0.000309172,2.1953e-06
0.0003112,2.2509e-06
0.000313241,2.30862e-06
0.000315295,2.3672e-06
0.000317363,2.42759e-06
0.000319444,2.48937e-06
0.000321539,2.55256e-06
0.000323648,2.6177e-06
0.000325771,2.6838e-06
0.000327907,2.75248e-06
0.000330058,2.82162e-06
0.000332222,2.89404e-06
0.000334401,2.96636e-06
0.000336594,3.0427e-06
0.000338802,3.11855e-06
0.000341024,3.19883e-06
0.00034326,3.2788e-06
0.000345512,3.36276e-06
0.000347778,3.44701e-06
0.000350059,3.53484e-06
0.000352354,3.62366e-06
0.000354665,3.71551e-06
0.000356991,3.80911e-06
0.000359332,3.90517e-06
0.000361689,4.00379e-06
0.000364061,4.10423e-06
0.000366449,4.20816e-06
0.000368852,4.31318e-06
0.000371271,4.4227e-06
0.000373706,4.53252e-06
0.000376157,4.64795e-06
0.000378624,4.76278e-06
0.000381107,4.88433e-06
0.000383607,5.00509e-06
0.000386122,5.13235e-06
0.000388655,5.25958e-06
0.000391204,5.39263e-06
0.000393769,5.52665e-06
0.000396352,5.66576e-06
0.000398951,5.80693e-06
0.000401568,5.95235e-06
0.000404201,6.10106e-06
0.000406852,6.25305e-06
0.00040952,6.40964e-06
0.000412206,6.56846e-06
0.00041491,6.73333e-06
0.000417631,6.89928e-06
0.00042037,7.07295e-06
0.000423127,7.24638e-06
0.000425902,7.4292e-06
0.000428695,7.61083e-06
0.000431506,7.80281e-06
0.000434336,7.99403e-06
0.000437185,8.19462e-06
0.000440052,8.3959e-06
0.000442938,8.60548e-06
0.000445843,8.81735e-06
0.000448767,9.03633e-06
0.00045171,9.25937e-06
0.000454673,9.48815e-06
0.000457655,9.72293e-06
0.000460656,9.96185e-06
0.000463677,1.02088e-05
0.000466718,1.04582e-05
0.000469779,1.07181e-05
0.00047286,1.09785e-05
0.000475961,1.12519e-05
0.000479083,1.15238e-05
0.000482225,1.18114e-05
0.000485387,1.20971e-05
0.000488571,1.23978e-05
0.000491775,1.26984e-05
0.000495,1.30124e-05
0.000498247,1.33286e-05
0.000501514,1.36565e-05
0.000504803,1.3989e-05
0.000508114,1.43312e-05
0.000511446,1.46807e-05
0.000514801,1.50377e-05
0.000518177,1.54053e-05
0.000521575,1.57778e-05
0.000524996,1.61643e-05
0.000528439,1.65531e-05
0.000531905,1.69593e-05
0.000535393,1.73648e-05
0.000538905,1.77917e-05
0.000542439,1.82158e-05
0.000545996,1.86634e-05
0.000549577,1.91092e-05
0.000553182,1.95762e-05
0.00055681,2.00446e-05
0.000560461,2.05317e-05
0.000564137,2.10238e-05
