wl,Ag_n,PDMS_n
3.490000,1.282000,1.399030
3.500000,1.289000,1.398305
3.510000,1.296000,1.397775
3.520000,1.303000,1.397295
3.530000,1.310000,1.397070
3.540000,1.317000,1.396915
3.550000,1.324000,1.396580
3.560000,1.331000,1.396415
3.570000,1.338500,1.396445
3.580000,1.346000,1.396290
3.590000,1.353500,1.395930
3.600000,1.361000,1.395495
3.610000,1.368500,1.395070
3.620000,1.376000,1.394565
3.630000,1.383500,1.394060
3.640000,1.391000,1.393790
3.650000,1.399000,1.393535
3.660000,1.407000,1.393175
3.670000,1.414500,1.392870
3.680000,1.422000,1.392770
3.690000,1.430500,1.392820
3.700000,1.439000,1.392885
3.710000,1.447000,1.393150
3.720000,1.455000,1.393455
3.730000,1.460667,1.393185
3.740000,1.466333,1.392525
3.750000,1.472000,1.392125
3.760000,1.480500,1.391910
3.770000,1.489000,1.391575
3.780000,1.497500,1.391303
3.790000,1.506000,1.391237
3.800000,1.515000,1.391065
3.810000,1.524000,1.390740
3.820000,1.532500,1.390320
3.830000,1.541000,1.390135
3.840000,1.547333,1.390305
3.850000,1.553667,1.390405
3.860000,1.560000,1.390095
3.870000,1.569000,1.389723
3.880000,1.578000,1.389607
3.890000,1.587500,1.389355
3.900000,1.597000,1.389155
3.910000,1.603333,1.389100
3.920000,1.609667,1.389050
3.930000,1.616000,1.388920
3.940000,1.626000,1.388883
3.950000,1.636000,1.388917
3.960000,1.642667,1.388980
3.970000,1.649333,1.388845
3.980000,1.656000,1.388495
3.990000,1.666000,1.388323
4.000000,1.676000,1.388337
4.010000,1.683000,1.388355
4.020000,1.690000,1.388305
4.030000,1.697000,1.388260
4.040000,1.707500,1.388283
4.050000,1.718000,1.388297
4.060000,1.725000,1.388260
4.070000,1.732000,1.388085
4.080000,1.739000,1.387715
4.090000,1.750000,1.387310
4.100000,1.761000,1.387150
4.110000,1.768333,1.386925
4.120000,1.775667,1.386800
4.130000,1.783000,1.386640
4.140000,1.794500,1.386540
4.150000,1.806000,1.386445
4.160000,1.813667,1.386485
4.170000,1.821333,1.386383
4.180000,1.829000,1.386247
4.190000,1.837000,1.385945
4.200000,1.845000,1.385950
4.210000,1.853000,1.386437
4.220000,1.861000,1.386753
4.230000,1.869000,1.387250
4.240000,1.877000,1.386830
4.250000,1.889000,1.385783
4.260000,1.901000,1.385337
4.270000,1.909333,1.384670
4.280000,1.917667,1.384590
4.290000,1.926000,1.384730
4.300000,1.934333,1.384845
4.310000,1.942667,1.384523
4.320000,1.951000,1.384227
4.330000,1.959667,1.383615
4.340000,1.968333,1.383145
4.350000,1.977000,1.382850
4.360000,1.986000,1.382710
4.370000,1.995000,1.382350
4.380000,2.004000,1.382050
4.390000,2.013000,1.381970
4.400000,2.022000,1.382025
4.410000,2.031000,1.382273
4.420000,2.040333,1.382387
4.430000,2.049667,1.382335
4.440000,2.059000,1.381987
4.450000,2.068333,1.381803
4.460000,2.077667,1.381535
4.470000,2.087000,1.381383
4.480000,2.096333,1.381317
4.490000,2.105667,1.381097
4.500000,2.115000,1.380943
4.510000,2.125000,1.380525
4.520000,2.135000,1.380080
4.530000,2.145000,1.379900
4.540000,2.155000,1.379485
4.550000,2.165000,1.379100
4.560000,2.175000,1.378950
4.570000,2.182500,1.378657
4.580000,2.190000,1.378513
4.590000,2.197500,1.378220
4.600000,2.205000,1.378133
4.610000,2.215333,1.378197
4.620000,2.225667,1.378520
4.630000,2.236000,1.379113
4.640000,2.246667,1.379447
4.650000,2.257333,1.380003
4.660000,2.268000,1.380227
4.670000,2.276250,1.380390
4.680000,2.284500,1.380123
4.690000,2.292750,1.379917
4.700000,2.301000,1.379450
4.710000,2.312000,1.379190
4.720000,2.323000,1.378790
4.730000,2.334000,1.378650
4.740000,2.345333,1.378560
4.750000,2.356667,1.378647
4.760000,2.368000,1.378683
4.770000,2.376750,1.378600
4.780000,2.385500,1.378480
4.790000,2.394250,1.378183
4.800000,2.403000,1.378007
4.810000,2.411750,1.377640
4.820000,2.420500,1.377297
4.830000,2.429250,1.377143
4.840000,2.438000,1.376883
4.850000,2.450000,1.376777
4.860000,2.462000,1.376597
4.870000,2.474000,1.376523
4.880000,2.483500,1.376443
4.890000,2.493000,1.376437
4.900000,2.502500,1.376350
4.910000,2.512000,1.376270
4.920000,2.521500,1.375890
4.930000,2.531000,1.375267
4.940000,2.540500,1.375023
4.950000,2.550000,1.374693
4.960000,2.559500,1.374607
4.970000,2.569000,1.374390
4.980000,2.578500,1.374260
4.990000,2.588000,1.373893
5.000000,2.601333,1.373657
5.010000,2.614667,1.373283
5.020000,2.628000,1.373147
5.030000,2.638250,1.372960
5.040000,2.648500,1.372910
5.050000,2.658750,1.372673
5.060000,2.669000,1.372487
5.070000,2.679250,1.372000
5.080000,2.689500,1.371700
5.090000,2.699750,1.371270
5.100000,2.710000,1.371140
5.110000,2.720750,1.371047
5.120000,2.731500,1.371083
5.130000,2.742250,1.371250
5.140000,2.753000,1.371380
5.150000,2.763750,1.371543
5.160000,2.774500,1.371577
5.170000,2.785250,1.371460
5.180000,2.796000,1.371310
5.190000,2.805000,1.370977
5.200000,2.814000,1.370793
5.210000,2.823000,1.370440
