wl,SIO2_n,SIO2_k
4.53,1.393687,0.00225379
4.54,1.393185,0.00225928
4.55,1.392678,0.00226493
4.56,1.392167,0.00227082
4.57,1.391650,0.00227705
4.58,1.391128,0.00228372
4.59,1.390601,0.00229093
4.60,1.390068,0.00229876
4.61,1.389530,0.00230734
4.62,1.388986,0.00231678
4.63,1.388437,0.00232721
4.64,1.387881,0.00233879
4.65,1.387414,0.00234942
4.66,1.387225,0.00235396
4.67,1.386752,0.00236613
4.68,1.386177,0.00238236
4.69,1.385595,0.00240068
4.70,1.385007,0.00242145
4.71,1.384412,0.00244508
4.72,1.383809,0.00247206
4.73,1.383199,0.00250291
4.74,1.382581,0.00253825
4.75,1.381956,0.00257874
4.76,1.381324,0.00262508
4.77,1.380686,0.00267804
4.78,1.380148,0.00272765
4.79,1.379932,0.00274905
4.80,1.379389,0.00280678
4.81,1.378733,0.00288402
4.82,1.378072,0.00297072
4.83,1.377408,0.00306737
4.84,1.376743,0.00317436
4.85,1.376076,0.00329185
4.86,1.375411,0.00341978
4.87,1.374747,0.00355786
4.88,1.374197,0.00368011
4.89,1.373978,0.00373084
4.90,1.373433,0.00386175
4.91,1.372785,0.00402550
4.92,1.372145,0.00419526
4.93,1.371513,0.00436932
4.94,1.370891,0.00454576
4.95,1.370277,0.00472251
4.96,1.369773,0.00486853
4.97,1.369573,0.00492636
4.98,1.369078,0.00506841
4.99,1.368490,0.00523338
5.00,1.367909,0.00539049
5.01,1.367332,0.00553818
5.02,1.366757,0.00567522
5.03,1.366182,0.00580083
5.04,1.365702,0.00589670
5.05,1.365509,0.00593269
5.06,1.365024,0.00601700
5.07,1.364435,0.00610847
5.08,1.363837,0.00619031
5.09,1.363227,0.00626419
5.10,1.362604,0.00633216
5.11,1.362075,0.00638603
5.12,1.361860,0.00640712
5.13,1.361317,0.00645998
5.14,1.360651,0.00652499
5.15,1.359972,0.00659416
5.16,1.359280,0.00666985
5.17,1.358696,0.00673927
5.18,1.358460,0.00676893
5.19,1.357867,0.00684854
5.20,1.357151,0.00695427
5.21,1.356431,0.00707177
5.22,1.355711,0.00720091
5.23,1.355113,0.00731668
5.24,1.354875,0.00736504
5.25,1.354283,0.00749018
5.26,1.353579,0.00764678
5.27,1.352886,0.00780807
5.28,1.352204,0.00797102
5.29,1.351645,0.00810566
5.30,1.351424,0.00815883
5.31,1.350877,0.00828823
5.32,1.350232,0.00843537
5.33,1.349598,0.00857017
5.34,1.349075,0.00867095
5.35,1.348868,0.00870784
5.36,1.348352,0.00879015
5.37,1.347736,0.00887003
5.38,1.347119,0.00892720
5.39,1.346603,0.00895694
5.40,1.346395,0.00896396
5.41,1.345870,0.00896924
5.42,1.345230,0.00895373
5.43,1.344573,0.00891472
5.44,1.344012,0.00886561
5.45,1.343783,0.00884172
5.46,1.343200,0.00877256
5.47,1.342476,0.00867390
5.48,1.341724,0.00856056
5.49,1.341075,0.00845734
5.50,1.340809,0.00841407
5.51,1.340129,0.00830268
5.52,1.339285,0.00816491
5.53,1.338408,0.00802577
5.54,1.337653,0.00791113
5.55,1.337345,0.00786597
5.56,1.336559,0.00775629
5.57,1.335589,0.00763181
5.58,1.334592,0.00751756
5.59,1.333740,0.00743151
5.60,1.333394,0.00739976
5.61,1.332519,0.00732776
5.62,1.331448,0.00725523
5.63,1.330540,0.00720695
5.64,1.330173,0.00719096
5.65,1.329248,0.00715948
5.66,1.328123,0.00713696
5.67,1.327176,0.00713082
5.68,1.326794,0.00713169
5.69,1.325835,0.00714189
5.70,1.324675,0.00716818
5.71,1.323701,0.00720120
5.72,1.323310,0.00721726
5.73,1.322328,0.00726395
5.74,1.321144,0.00733118
5.75,1.319953,0.00740966
5.76,1.318956,0.00748261
5.77,1.318556,0.00751367
5.78,1.317553,0.00759542
5.79,1.316342,0.00770042
5.80,1.315328,0.00779310
5.81,1.314920,0.00783147
5.82,1.313896,0.00793047
5.83,1.312658,0.00805488
5.84,1.311618,0.00816353
5.85,1.311199,0.00820841
5.86,1.310144,0.00832493
5.87,1.309079,0.00844800
5.88,1.308650,0.00849944
5.89,1.307569,0.00863517
5.90,1.306257,0.00881288
5.91,1.305152,0.00897612
5.92,1.304707,0.00904596
5.93,1.303588,0.00923409
5.94,1.302238,0.00948615
5.95,1.301110,0.00972021
5.96,1.300659,0.00982051
5.97,1.299535,0.01008817
5.98,1.298198,0.01043872
5.99,1.297097,0.01075312
6.00,1.296661,0.01088431
6.01,1.295585,0.01122290
6.02,1.294528,0.01157379
6.03,1.294110,0.01171729
6.04,1.293080,0.01208270
6.05,1.291868,0.01253454
6.06,1.290881,0.01292560
6.07,1.290493,0.01308673
6.08,1.289549,0.01350501
6.09,1.288650,0.01394317
6.10,1.288308,0.01412417
6.11,1.287512,0.01457944
6.12,1.286684,0.01510488
6.13,1.286112,0.01548265
6.14,1.285916,0.01560923
6.15,1.285489,0.01582221
6.16,1.285120,0.01587542
6.17,1.284982,0.01584223
6.18,1.284605,0.01561222
6.19,1.284148,0.01519738
6.20,1.283931,0.01497935
6.21,1.283258,0.01434459
6.22,1.282204,0.01347389
6.23,1.281113,0.01272579
6.24,1.280621,0.01243168
6.25,1.279281,0.01174576
6.26,1.277816,0.01113804
6.27,1.277199,0.01092212
6.28,1.275609,0.01045261
6.29,1.273974,0.01007124
6.30,1.273312,0.00994346
6.31,1.271647,0.00967294
