wl,SIO2_n,SIO2_k
18.98,1.261998,0.29131998
18.99,1.257796,0.29381728
19.00,1.255671,0.29511779
19.01,1.253545,0.29641831
19.02,1.251420,0.29771882
19.03,1.247485,0.30019570
19.04,1.245675,0.30137206
19.05,1.243865,0.30254842
19.06,1.242055,0.30372478
19.07,1.240246,0.30490115
19.08,1.236221,0.30760800
19.09,1.234006,0.30913849
19.10,1.231791,0.31066898
19.11,1.229576,0.31219947
19.12,1.225482,0.31511113
19.13,1.223603,0.31649229
19.14,1.221724,0.31787346
19.15,1.219845,0.31925462
19.16,1.217966,0.32063578
19.17,1.213797,0.32380958
19.18,1.211507,0.32560221
19.19,1.209218,0.32739485
19.20,1.206928,0.32918748
19.21,1.202319,0.33291655
19.22,1.199999,0.33485298
19.23,1.197680,0.33678941
19.24,1.195360,0.33872584
19.25,1.191088,0.34240307
19.26,1.189136,0.34414387
19.27,1.187184,0.34588467
19.28,1.185231,0.34762547
19.29,1.183279,0.34936626
19.30,1.178968,0.35335734
19.31,1.176610,0.35560762
19.32,1.174251,0.35785790
19.33,1.171893,0.36010818
19.34,1.167563,0.36437541
19.35,1.165592,0.36639237
19.36,1.163620,0.36840933
19.37,1.161649,0.37042629
19.38,1.159678,0.37244325
19.39,1.155344,0.37705919
19.40,1.152981,0.37965817
19.41,1.150619,0.38225715
19.42,1.148256,0.38485613
19.43,1.143937,0.38977661
19.44,1.141980,0.39209810
19.45,1.140024,0.39441959
19.46,1.138067,0.39674109
19.47,1.136110,0.39906258
19.48,1.131833,0.40436427
19.49,1.129512,0.40734447
19.50,1.127192,0.41032466
19.51,1.124871,0.41330486
19.52,1.120652,0.41893619
19.53,1.118753,0.42158732
19.54,1.116854,0.42423845
19.55,1.114955,0.42688958
19.56,1.113056,0.42954071
19.57,1.108936,0.43558001
19.58,1.106715,0.43896817
19.59,1.104494,0.44235633
19.60,1.102274,0.44574449
19.61,1.098265,0.45213198
19.62,1.096476,0.45513131
19.63,1.094688,0.45813065
19.64,1.092900,0.46112998
19.65,1.091112,0.46412931
19.66,1.087272,0.47094138
19.67,1.085220,0.47475413
19.68,1.083168,0.47856687
19.69,1.081116,0.48237962
19.70,1.077449,0.48954803
19.71,1.075833,0.49290369
19.72,1.074218,0.49625935
19.73,1.072603,0.49961501
19.74,1.070987,0.50297068
19.75,1.067567,0.51056540
19.76,1.065763,0.51480447
19.77,1.063959,0.51904353
19.78,1.062154,0.52328260
19.79,1.058975,0.53122755
19.80,1.057601,0.53493344
19.81,1.056226,0.53863933
19.82,1.054852,0.54234521
19.83,1.053477,0.54605110
19.84,1.050629,0.55440516
19.85,1.049155,0.55905333
19.86,1.047682,0.56370150
19.87,1.046208,0.56834967
19.88,1.043670,0.57703094
19.89,1.042606,0.58106403
19.90,1.041542,0.58509713
19.91,1.040477,0.58913023
19.92,1.039413,0.59316332
19.93,1.037465,0.60137901
19.94,1.036580,0.60556160
19.95,1.035696,0.60974419
19.96,1.034812,0.61392678
19.97,1.033928,0.61810937
19.98,1.033043,0.62229195
19.99,1.033043,0.62229195
20.00,1.033043,0.62229195
