wl,Al_n,Al_k
3.68,6.043800,35.939167
3.69,6.065650,36.021958
3.70,6.087500,36.104750
3.71,6.109350,36.187542
3.72,6.131200,36.270333
3.73,6.153050,36.353125
3.74,6.174900,36.435917
3.75,6.196750,36.518708
3.76,6.218600,36.601500
3.77,6.240450,36.684292
3.78,6.262300,36.767083
3.79,6.284150,36.849875
3.80,6.306000,36.932667
3.81,6.327850,37.015458
3.82,6.349700,37.098250
3.83,6.371550,37.181042
3.84,6.393400,37.263833
3.85,6.415250,37.346625
3.86,6.437100,37.429417
3.87,6.458950,37.512208
3.88,6.502978,37.677630
3.89,6.525156,37.760259
3.90,6.547333,37.842889
3.91,6.569511,37.925519
3.92,6.591689,38.008148
3.93,6.613867,38.090778
3.94,6.636044,38.173407
3.95,6.658222,38.256037
3.96,6.680400,38.338667
3.97,6.702578,38.421296
3.98,6.724756,38.503926
3.99,6.746933,38.586556
4.00,6.769111,38.669185
4.01,6.791289,38.751815
4.02,6.813467,38.834444
4.03,6.835644,38.917074
4.04,6.857822,38.999704
4.05,6.880000,39.082333
4.06,6.902178,39.164963
4.07,6.924356,39.247593
4.08,6.946533,39.330222
4.09,6.968711,39.412852
4.10,6.990889,39.495481
4.11,7.013067,39.578111
4.12,7.035244,39.660741
4.13,7.057422,39.743370
4.14,7.102803,39.910700
4.15,7.126007,39.995400
4.16,7.149210,40.080100
4.17,7.172413,40.164800
4.18,7.195617,40.249500
4.19,7.218820,40.334200
4.20,7.242023,40.418900
4.21,7.265227,40.503600
4.22,7.288430,40.588300
4.23,7.311633,40.673000
4.24,7.334837,40.757700
4.25,7.358040,40.842400
4.26,7.381243,40.927100
4.27,7.404447,41.011800
4.28,7.427650,41.096500
4.29,7.450853,41.181200
4.30,7.474057,41.265900
4.31,7.497260,41.350600
4.32,7.520463,41.435300
4.33,7.543667,41.520000
4.34,7.566870,41.604700
4.35,7.590073,41.689400
4.36,7.613277,41.774100
4.37,7.636480,41.858800
4.38,7.659683,41.943500
4.39,7.682887,42.028200
4.40,7.706090,42.112900
4.41,7.729293,42.197600
4.42,7.752497,42.282300
4.43,7.798911,42.449571
4.44,7.822123,42.532143
4.45,7.845334,42.614714
4.46,7.868546,42.697286
4.47,7.891757,42.779857
4.48,7.914969,42.862429
4.49,7.938180,42.945000
